,user1,user2,weight
0,1281,88,w
1,1189,1407,s
2,398,368,s
3,236,1421,s
4,350,617,s
5,704,839,w
6,372,765,s
7,809,242,w
8,194,237,w
9,12,830,s
10,289,135,w
11,642,645,w
12,1231,1605,w
13,225,1281,s
14,498,823,s
15,321,278,w
16,679,7,w
17,1546,1554,s
18,447,325,s
19,781,1426,s
20,851,1014,s
21,781,755,s
22,1244,615,w
23,1281,1771,s
24,1580,9,s
25,1281,1065,w
26,705,825,w
27,1182,309,s
28,9,994,w
29,1018,288,s
30,48,840,s
31,36,525,s
32,128,329,s
33,1285,52,s
34,75,97,w
35,297,63,s
36,1509,470,s
37,1326,1268,s
38,27,194,s
39,302,456,s
40,105,1153,w
41,252,607,w
42,400,304,w
43,276,1343,s
44,482,212,w
45,1283,700,s
46,430,175,w
47,495,1050,s
48,193,280,w
49,69,357,w
50,12,1440,s
51,1601,1646,w
52,525,44,w
53,496,375,s
54,83,313,w
55,598,488,s
56,456,294,s
57,1283,346,w
58,733,708,s
59,1127,1603,s
60,1253,1284,s
61,194,1097,s
62,357,523,w
63,32,632,s
64,1540,1669,s
65,727,710,s
66,1189,1021,w
67,306,1449,w
68,41,527,s
69,67,523,s
70,966,697,s
71,549,495,s
72,770,460,w
73,1402,1479,w
74,336,536,s
75,509,260,s
76,429,289,s
77,1285,912,s
78,733,1306,s
79,42,1266,w
80,193,1362,s
81,431,840,w
82,214,584,s
83,551,587,w
84,1158,1585,s
85,3,790,s
86,3,741,w
87,189,774,w
88,394,42,s
89,1283,1280,s
90,1408,1720,s
91,1811,1814,s
92,969,1189,s
93,194,815,w
94,289,65,s
95,72,303,s
96,492,712,s
97,770,658,w
98,368,966,s
99,308,1655,w
100,582,1882,w
101,1403,1255,s
102,1406,1603,s
103,321,464,w
104,400,882,w
105,53,9,s
106,953,27,s
107,1069,317,s
108,704,1183,s
109,41,1253,w
110,194,241,w
111,1335,1694,s
112,1452,346,w
113,422,449,s
114,704,978,s
115,651,765,s
116,321,242,s
117,1283,1244,w
118,950,517,s
119,38,177,s
120,1310,1575,s
121,181,765,s
122,325,683,s
123,787,122,s
124,41,380,w
125,704,1580,s
126,311,50,s
127,1283,1018,w
128,71,72,s
129,277,1381,w
130,1756,1629,s
131,1283,523,s
132,145,95,s
133,532,541,w
134,496,437,w
135,1253,1013,s
136,335,356,s
137,482,248,w
138,73,343,s
139,1543,1282,s
140,361,1069,w
141,1543,1565,s
142,338,475,s
143,1283,297,s
144,739,337,s
145,353,254,s
146,408,1122,w
147,249,61,s
148,1509,352,s
149,254,302,s
150,1686,783,w
151,9,1323,w
152,103,63,s
153,32,644,w
154,97,98,s
155,67,598,s
156,687,1237,w
157,1669,391,w
158,1672,437,w
159,400,887,w
160,103,375,s
161,1272,441,w
162,809,779,s
163,617,516,s
164,1239,886,w
165,105,1644,s
166,95,1865,s
167,536,778,w
168,1,3,s
169,770,323,w
170,199,1183,w
171,810,1792,w
172,482,101,w
173,1539,69,s
174,966,1171,s
175,713,283,s
176,1624,155,s
177,733,840,s
178,1783,1724,s
179,1402,1213,w
180,725,840,s
181,1332,1312,s
182,128,62,s
183,314,281,s
184,1127,265,w
185,834,592,w
186,266,388,w
187,103,673,s
188,342,379,w
189,32,1838,w
