TXID,fee,output,removed,size,time
d99c20a0036f3761d0e45522a2493dd79b7292d51ccfd3d3723067a9410a04a9,72320.0,19803342,1510264642.6,192,1510263664
4d84ff3fba83c85a7281c31441c094dd2557222ac86f114cfaeef0afc60c451a,84109.0,10366009,1510266190.01,336,1510266089
1a62b1c1f5544471f25d172d61adb503499d73364bdd5628739b5414bc494337,38194.0,714042,1510267729.73,226,1510266295
5b18ff587a85332869bfe0be7b9891da42df1c9e5fdad1c999b4c92789c41c13,68252.0,3736269,1510262776.97,226,1510261882
014d3994da7ce11095aeedf850ccbe0df19b7e0e9b05493fee75830c2434fd06,72906.0,758359,1510264642.6,226,1510263094
8a901352d72379314fb93ff89cb2a36f1ae6ca05608104e4e7dbdb4382428889,226.0,0,1510263657.23,189,1510263666
591e62877357d2238e216e52f2e75100111cb758b16abaaa9472eed59a75adcd,53900.0,5639000,1510262776.97,189,1510261644
df1038cb5eb5c8d59c914084e5ea9209d9b815cf92e9b9a1b998d39b5d96d5e6,166080.0,18305414,1510263058.57,521,1510262964
3361a73fbc5e3511174b18e15a545ea30fd4aa0f7510803946e6d5e16b0faba7,11300.0,146548,1510267249.64,226,1510261613
19ff6edde8d99efc6fba6c0fde7f71aae30d9f56e1c1ad2e9f9505706da6ca6e,13560.0,16986440,1510306140.2,225,1510263153
bf67ca348ab474b9bb118d694c60c25370c1af8744f236f528cab10d183a1b37,27798.0,764421,1510269627.33,224,1510267122
badc073732b57ffc1066ac71ee097bc118c8b67dba48971e305fbc7d3a3f3e4a,40002.0,2566225,1510267729.73,225,1510266286
29bc0f76af7b73d5f8f0b35e0bbadbbe1e9a402ef19f2179c72c032f0920e19f,72906.0,456213815,1510262776.97,226,1510262658
88c8426fd2ac368c3e6011f60b724ca809ae6c30d116691eedb27b5f389ea1a5,72908.0,1372865,1510261766.56,225,1510261623
160d8071a4788acd5c276968f53f70f4fdb94fe2fd06d2b0a5b057ecf346360b,72906.0,1927094,1510263058.57,225,1510262843
b5bbd41030ade1d7f14fd70c1d909878d5a7b11af9aa8ccdf5fe55e5bab84393,108624.0,73904545,1510265883.38,370,1510265711
0bf8878fb25d272c7fc0182f056fb5584a466d1a99e26717c7c4e99273eefa02,92485.0,910642,1510264653.31,336,1510263603
52b5eb284bede45004ac6c7b6223ae8e70f3c4d5854ec3e89008cd7877282ec9,67200.0,95626611,1510264653.31,223,1510264062
edf12d8a478cc9bedc55313dcd97460f2729bd33356ef287db82e0a698db797c,66283.0,2756259,1510266190.01,226,1510266003
c44df2bc59002d71320bf4f5d8a4c51318d24018a4efc4b8c891b2c13d4d4796,98342.0,1528609,1510267249.64,374,1510266514
36a7b5e5bb6d5212d0334311addefece13696fdda6e392ef7047fcab5876325f,72906.0,4594405,1510264642.6,223,1510263192
a3952ead312da1cef6e468b9b7376b6ea6fd21c9f6d1f8a0801e1091bd1755c3,98160.0,5925354,1510269627.33,815,1510263894
f56316c6796edfadb814eb08deb4c3c4316fc41fec9a199b05a365eaf388f506,62720.0,52915704,1510262776.97,224,1510262460
82e8195b2d7c65b06a3e52c680dd97e42813d2206a13e2aa5d320c6f3624ec0a,82176.0,13344371,1510267729.73,256,1510267217
1c86f5512063757358d2d9875b7b6f7327fbb1430fd50727e9a2b681d2ee5c99,97092.0,30970959,1510266190.01,520,1510264628
31eb39348b05263e9df49cf88ac7bff152b7657fe259e3b896f3baf943c41c85,166500.0,80974677,1510267833.89,1110,1510266168
1a58a871d823e6c4a7ec2b9c52aac04e8229bf9ca03c0db22590fe69aba018df,54225.0,4317775,1510265399.55,224,1510265204
ad4ab573236499e1ad1e7b1910e87f4c13d2a2ce5dbc50f13f7a5a184df5c8d1,67694.0,4875477,1510266490.02,371,1510264084
8d298469ab3f96506caf015ee3e08f8cce4457267fde4bbbb8dcf6202c262bf5,109208.0,192084,1510262776.97,372,1510262595
d9d2e8d0176fb81a19d8e05f5577e0a778fc2a51a24d77dc930ce49f43e85fcf,63280.0,9073270,1510264653.31,225,1510263058
c9b178a4f4d37b281ad2a3d26e63ecc04c7ff538fffa7aca856dde487cf07c76,638445.0,107786303,1510262776.97,2175,1510262606
a977dbdf24fe743858d70bebde8694384b27e8795ba0e3ed22355de4accf2a63,64960.0,140007,1510264653.31,224,1510263331
932b65daf427aa97ab2c4cc447193dbcfed6d10e946e1ff8ce4443cc7f7ebf5a,63300.0,3736100,1510264653.31,226,1510264429
5cde463e49a6b50a21513671144451742028cec926e873f54f91cc3b60db2c8e,68478.0,15132438,1510264642.6,189,1510264203
3ee52d3b338b255605a71cafac5476749cccc3f4b2e38f2ee2fd5a25f7b9d5d4,1911600.0,1000890918,1510264642.6,3177,1510264130
0323dc62a1cf585f8d813cf5effad46a58224054f89783eb99e40e8bf428d0a5,97858.0,5608966,1510264642.6,225,1510264363
fafcb581f5171f99277cb48315733a9021e794a5ff15ffa26ae2cd6d510ebf33,72909.0,2888356,1510265883.38,223,1510265801
6447d31ec84cac583349cbf171ea980eaeec2cd1b33b41fd896b0648a1122b3e,343910.0,205216,1510269627.33,2882,1510266954
164e271c4655fa420d22c748dd71745facb5efcb966a13395dee66547ea3c867,44522.0,6102919,1510265883.38,224,1510261575
cbcb3c489ea78b2decb2bc0eed1947e9be41f4bd547a83e4845673fa3ce428b1,65400.0,2303472233,1510267249.64,223,1510266612
68809e8f81406fb46c001b15c9dc3511d3be3b92038af365228030d98cdd0b8b,72906.0,569937096,1510262776.97,225,1510262710
65db21fc8997879e048cda90af2bede41d04fdcae5801c244ec03529ae0b4f3a,103530.0,60073770,1510262776.97,406,1510262658
c13594ff63614d96dd82e6ac93156b507a5205f9743950857db6ea7dd98e58a1,151635.0,572418006,1510261766.56,534,1510261733
0b3d078136ce71f01e5c41d74f47af5a1c27ccb6a01f008ba99e549e999c00a0,72909.0,1999927091,1510264642.6,226,1510264242
77c2e3a562b3b1cafa26b9e7e5a349bedc086f62fba620f64e04be899b974ce3,53856.0,10750205,1510269627.33,374,1510266631
d2dbfd1d7a3249649876205897bdd84a8f0d75d128439aeafcf9d67ba5396383,42036.0,1640538,1510266190.01,225,1510265861
a35852f8b6e608e21abbefae37d43e3d557583c3df516cb73f6d21de4e8d4915,72906.0,480525080,1510262776.97,226,1510262671
fdf5856711ee9540d9fee02c1e0bc90c42ef91fadc061ab92874ea676f51d333,65992.0,5857505,1510262776.97,226,1510262176
078f21f3ca474b348277dad9086124f1fbd7f435fcd071d454623a26609c7e4f,59423.0,1598937,1510264653.31,226,1510263799
