user,movie,rate
124,1667,3.5
873,5832,3.0
922,9577,3.5
306,842,3.0
1279,19702,3.5
187,8892,4.0
2784,2962,4.0
873,5222,3.5
397,3342,3.5
1902,4742,4.0
306,24917,2.0
964,952,3.5
2273,8167,4.0
1531,237,5.0
61,13682,3.0
320,4582,4.0
82,44357,2.0
3715,3797,5.0
2987,1267,4.5
2357,557,1.5
761,4582,4.0
768,5327,4.0
1468,25087,3.5
1426,26002,3.0
2868,952,4.0
75,2547,3.5
2238,842,4.5
460,2732,5.0
712,227,4.0
1783,5037,1.0
3652,952,5.0
152,442,3.0
2070,8382,1.0
75,45257,3.5
614,3407,2.5
642,1107,4.0
12,9992,3.0
2119,692,5.0
3617,6177,2.0
1426,9312,3.0
313,6607,4.5
1699,1382,1.5
649,417,4.0
285,3322,5.0
614,10572,3.5
530,4107,4.0
264,7932,4.0
2119,6977,3.0
2595,1107,4.0
1083,11382,3.0
390,1867,4.0
3232,392,5.0
2658,13472,4.0
3554,15877,2.0
26,1032,4.0
285,4267,5.0
740,5442,2.0
607,5207,3.0
565,7292,4.0
1111,14267,4.0
3505,822,3.5
1111,25857,3.0
75,1217,4.0
467,9427,3.5
1321,5062,4.0
12,1232,4.5
901,3367,5.0
2532,617,4.0
754,592,4.0
2098,1597,4.0
1958,692,3.5
719,3762,5.0
257,1232,5.0
607,7512,1.0
481,37397,3.5
1685,7157,3.0
4198,6562,4.0
1685,9632,3.0
3225,9717,1.0
2385,12297,3.0
782,23292,4.5
1531,6897,4.0
481,4382,3.0
2868,2017,3.5
1118,14557,1.0
1055,5602,3.0
747,6072,2.5
1671,1442,5.0
404,4637,2.0
425,9882,3.0
3155,1412,3.0
327,3417,4.0
82,12562,4.0
271,32022,2.0
1426,10817,3.0
383,7742,2.0
3281,2342,4.0
264,26477,1.0
271,3402,3.0
4464,797,3.0
719,402,5.0
1580,247,5.0
2448,247,4.0
271,5102,3.0
3358,7047,0.5
2350,9007,3.0
355,1202,4.0
873,1377,2.0
2679,1412,3.0
768,3562,3.5
684,5847,3.0
1202,427,5.0
1706,35257,3.5
3071,17842,4.0
642,532,3.5
320,3637,3.0
3190,25727,5.0
124,21002,3.5
404,37922,3.0
2364,1547,4.5
2875,3762,4.5
4576,16797,5.0
271,5057,5.0
1734,29652,5.0
3400,2342,3.0
