movie,income,g1,g2,g3,g4,g5,g6
12,1791178,Western,,,,,
17,6569621,Comedy,,,,,
22,31479556,Drama,,,,,
27,9349392,Action,Comedy,Drama,,,
32,12881740,Comedy,,,,,
37,8545255,Comedy,,,,,
42,3836340,Comedy,,,,,
47,2229626,Action,Thriller,,,,
52,4329218,Horror,,,,,
57,7040885,Drama,,,,,
62,7928831,Comedy,Drama,,,,
67,2227541,Drama,Thriller,,,,
72,5724993,Comedy,Drama,,,,
77,8748685,Comedy,Drama,Thriller,,,
82,6680267,Action,Thriller,,,,
87,5401239,Horror,,,,,
92,870249,Comedy,Horror,,,,
97,10931349,Comedy,,,,,
102,14242711,Action,,,,,
107,528111,Action,,,,,
112,4137891,Drama,,,,,
117,13412450,Drama,,,,,
122,8317236,Comedy,,,,,
127,2209230,,,,,,
132,3958880,Action,Western,,,,
137,4018461,Comedy,Horror,,,,
142,1313628,Comedy,,,,,
147,5610736,Drama,,,,,
152,10072237,Drama,,,,,
157,9515415,Drama,,,,,
162,211716,Horror,Thriller,,,,
167,8139671,Comedy,Thriller,,,,
172,6701725,Drama,,,,,
177,8194971,Action,Thriller,,,,
182,6728566,Thriller,,,,,
187,2472359,Thriller,,,,,
192,7751674,Drama,Thriller,,,,
197,10216999,Action,Thriller,,,,
202,3456339,Action,Drama,Thriller,,,
207,5854197,Drama,,,,,
212,9467140,Comedy,,,,,
217,1743245,Comedy,,,,,
222,4196982,Drama,,,,,
227,4450757,Drama,Thriller,,,,
232,5353928,Comedy,,,,,
237,5030872,Drama,,,,,
242,3644746,Action,Thriller,,,,
247,7663271,Comedy,Drama,,,,
252,3239495,Action,Thriller,IMAX,,,
257,6503937,,,,,,
262,4952101,Drama,,,,,
267,12946985,Drama,,,,,
272,1316956,Drama,Horror,Thriller,,,
277,9481277,Thriller,,,,,
282,981441,Drama,,,,,
287,5530349,Comedy,,,,,
292,8073820,Comedy,Drama,,,,
297,4284078,Comedy,,,,,
302,13584612,,,,,,
307,1789830,Drama,,,,,
312,5778347,Thriller,,,,,
317,1341562,Comedy,,,,,
322,6467364,Drama,,,,,
327,2999098,Thriller,,,,,
332,4488321,Action,Thriller,IMAX,,,
337,4700380,Thriller,,,,,
342,24443898,Thriller,,,,,
347,8254101,Action,Drama,Western,,,
352,4180655,Drama,Thriller,,,,
357,4043475,Comedy,,,,,
362,12947481,Drama,,,,,
367,2363634,,,,,,
372,3292529,Drama,,,,,
377,8402110,Drama,IMAX,,,,
382,3177916,Drama,,,,,
387,28794162,Action,,,,,
392,9715518,Horror,,,,,
397,1933644,Horror,,,,,
402,17829539,Action,,,,,
407,652411,Action,,,,,
412,1377093,Action,Drama,Thriller,IMAX,,
417,10479779,Comedy,Drama,,,,
422,2258189,Comedy,Drama,,,,
427,3926003,Action,Drama,,,,
432,1828482,Action,Thriller,,,,
437,6433546,Drama,Western,,,,
442,16968771,Drama,,,,,
447,10852161,Thriller,,,,,
452,3899398,Comedy,Thriller,,,,
457,1666291,Action,Comedy,Horror,Thriller,,
462,652387,Comedy,,,,,
467,2552156,Action,Thriller,,,,
472,9462272,Drama,,,,,
477,1731014,Comedy,Horror,,,,
482,1116662,Comedy,,,,,
487,845880,Comedy,,,,,
492,1944267,Comedy,,,,,
497,4843773,Comedy,,,,,
502,5845774,Drama,,,,,
507,4284399,Action,Drama,,,,
512,3913159,Drama,,,,,
517,3742343,Comedy,Drama,,,,
522,4858628,Comedy,Drama,Thriller,,,
527,3001363,Comedy,,,,,
532,6477917,Comedy,,,,,
537,4779918,Drama,,,,,
542,3511387,,,,,,
547,2718076,Action,Drama,Thriller,,,
552,5283666,Drama,,,,,
557,3050212,Comedy,Horror,Thriller,,,
562,5369734,Comedy,,,,,
567,3202290,IMAX,,,,,
572,5610182,Comedy,,,,,
577,574515,Horror,Thriller,,,,
582,8951920,Action,Comedy,,,,
587,5417443,Drama,Horror,Thriller,,,
592,13959384,Drama,,,,,
597,1380983,Comedy,,,,,
602,6266155,Action,Western,,,,
607,6181074,Comedy,,,,,
612,3372314,Action,Comedy,Western,,,
617,20993589,Comedy,,,,,
622,3165946,Drama,,,,,
627,2865194,Comedy,Drama,,,,
632,3408756,Comedy,Drama,,,,
637,1510094,Comedy,Drama,,,,
642,4966948,Drama,Horror,,,,
647,5576647,IMAX,,,,,
652,388285,Action,Comedy,,,,
657,1088323,Drama,Thriller,,,,
662,1568415,Comedy,,,,,
667,5575010,Comedy,,,,,
672,1181938,Action,,,,,
677,754651,Comedy,,,,,
682,3444482,Comedy,Drama,,,,
687,7379452,Drama,,,,,
692,4767538,Action,Thriller,,,,
697,1537427,Action,,,,,
702,3911134,Comedy,Drama,,,,
707,6273934,Thriller,,,,,
712,8956563,Comedy,Horror,,,,
717,10769641,Drama,,,,,
722,1993751,Action,Comedy,,,,
727,2592790,Action,Thriller,,,,
732,4083432,Drama,,,,,
737,3642938,Comedy,Drama,,,,
742,4552660,Action,Drama,Thriller,,,
747,8145064,Action,,,,,
752,2001187,Comedy,Drama,,,,
757,2611103,Comedy,,,,,
762,952205,Action,Thriller,,,,
767,439774,Drama,,,,,
772,2684591,Comedy,,,,,
777,3820291,Comedy,,,,,
782,2806485,Action,Drama,,,,
787,1826471,Thriller,,,,,
792,6738287,Drama,,,,,
797,657425,Action,,,,,
802,2770267,Comedy,,,,,
807,5052500,Comedy,,,,,
812,730308,Action,,,,,
817,1319120,Action,Drama,Thriller,,,
822,12189583,Action,Comedy,,,,
827,3801294,Action,Horror,Thriller,,,
832,1527794,Action,Thriller,,,,
837,14120848,Drama,,,,,
842,6745430,Action,Thriller,,,,
847,9601592,Drama,,,,,
852,2968715,Action,Drama,Thriller,,,
857,3101744,Comedy,Western,,,,
862,382116,Action,Thriller,,,,
867,3444225,Drama,,,,,
872,3173465,Comedy,Drama,,,,
877,4288719,Comedy,,,,,
882,4260154,Thriller,,,,,
887,5596737,Action,Thriller,,,,
892,8219161,Drama,,,,,
897,1276391,Comedy,,,,,
902,2301258,Thriller,,,,,
907,10216864,Comedy,,,,,
912,4640276,Action,,,,,
917,3041316,Horror,Thriller,,,,
922,6583694,Drama,,,,,
927,9552016,Comedy,Drama,Thriller,,,
932,622409,Action,,,,,
937,433752,Drama,Thriller,,,,
942,2981101,Action,,,,,
947,4494894,Drama,Thriller,,,,
952,5955372,Action,,,,,
957,20064005,Action,,,,,
962,4712736,Action,Comedy,,,,
967,11477231,Drama,,,,,
972,3225588,Action,Drama,Thriller,,,
977,6931421,Comedy,IMAX,,,,
982,5374942,Action,,,,,
987,2700249,Comedy,,,,,
992,13037758,Comedy,,,,,
997,1812012,Action,IMAX,,,,
1002,2106825,Horror,Thriller,,,,
1007,1345056,Action,Thriller,,,,
1012,8119752,Drama,,,,,
1017,6597085,,,,,,
1022,2386553,Comedy,,,,,
1027,4163010,Drama,,,,,
1032,7437637,Drama,,,,,
1037,9505120,Comedy,,,,,
1042,6414745,Comedy,,,,,
1047,7111672,Drama,,,,,
1052,965362,Action,,,,,
1057,5655941,Comedy,Drama,,,,
1062,3568516,Comedy,,,,,
1067,6077463,Drama,,,,,
1072,3182099,Action,Drama,,,,
1077,1264894,Action,Thriller,,,,
1082,5073712,Drama,,,,,
1087,2725698,Drama,IMAX,,,,
1092,3688862,Action,Thriller,,,,
1097,4151102,Action,Comedy,Drama,,,
1102,2327037,,,,,,
1107,6028507,Comedy,,,,,
1112,5944381,Drama,,,,,
1117,2750462,Action,Thriller,,,,
1122,1336368,Action,Thriller,,,,
1127,7144242,Action,Thriller,IMAX,,,
1132,5912200,Drama,Thriller,,,,
1137,327507,Action,Thriller,,,,
1142,8820382,,,,,,
1147,18424977,Action,Thriller,,,,
1152,5882201,Comedy,Drama,,,,
1157,402675,Comedy,,,,,
1162,4251697,Thriller,,,,,
1167,22880340,Thriller,,,,,
1172,4745603,,,,,,
1177,5239368,Drama,,,,,
1182,13236008,Comedy,,,,,
1187,6048304,Action,Drama,Thriller,,,
1192,11293179,Action,Drama,,,,
1197,4820725,Comedy,,,,,
1202,5388036,Action,,,,,
1207,2467444,Drama,,,,,
1212,3998618,Drama,,,,,
1217,4083065,Comedy,,,,,
1222,1737422,Drama,,,,,
1227,13709300,Drama,,,,,
1232,10611496,Action,Thriller,,,,
1237,3138855,Comedy,,,,,
1242,517272,Comedy,,,,,
1247,4427015,Drama,,,,,
1252,475232,Comedy,,,,,
1257,9652555,Action,Drama,,,,
1262,22214250,,,,,,
1267,1159154,Drama,Thriller,,,,
1272,3857015,Comedy,Drama,,,,
1277,2090519,Action,Drama,,,,
1282,3645233,Action,Thriller,,,,
1287,658195,Thriller,,,,,
1292,2818947,Comedy,,,,,
1297,6035473,Comedy,,,,,
1302,964202,Comedy,,,,,
1307,4187533,Drama,Thriller,,,,
1312,4792811,Drama,,,,,
1317,3443012,Comedy,,,,,
1322,42611532,Comedy,Horror,,,,
1327,5812835,Action,Thriller,,,,
1332,4926481,Action,Drama,,,,
1337,9149922,Drama,Thriller,,,,
1342,8293614,Comedy,,,,,
1347,16668460,Action,Drama,Thriller,,,
1352,11518713,Drama,,,,,
1357,592216,Action,,,,,
1362,8567228,Thriller,,,,,
1367,12948069,Drama,,,,,
1372,9418634,Action,Drama,Thriller,,,
1377,368653,Comedy,,,,,
1382,855741,Comedy,,,,,
1387,5320101,Action,Thriller,,,,
1392,4770674,Comedy,,,,,
1397,4985992,Drama,IMAX,,,,
1402,6702132,Thriller,,,,,
1407,822429,Action,Thriller,,,,
1412,1614534,Action,Comedy,,,,
1417,6575262,Drama,,,,,
1422,2245020,Drama,,,,,
1427,13745987,Drama,Thriller,,,,
1432,1759305,Action,Drama,,,,
1437,3517617,Comedy,,,,,
1442,13978316,Drama,IMAX,,,,
1447,424324,Comedy,,,,,
1452,7200603,Action,Thriller,,,,
1457,13351666,Drama,,,,,
1462,5340873,Drama,Thriller,,,,
1467,1395866,Drama,Thriller,,,,
1472,4254056,,,,,,
1477,5444389,Drama,,,,,
1482,15248218,Comedy,Thriller,,,,
1487,4426601,,,,,,
1492,3383941,Comedy,Thriller,,,,
1497,5232667,Drama,,,,,
1502,17396869,Action,Drama,Thriller,,,
1507,4542519,Drama,,,,,
1512,3302111,Drama,,,,,
1517,6955782,Drama,Horror,,,,
1522,6995449,Drama,,,,,
1527,4837211,Drama,,,,,
1532,3530865,Action,Drama,Thriller,,,
1537,4057555,Comedy,,,,,
1542,2437231,Drama,Thriller,,,,
1547,5129423,Action,Thriller,,,,
1552,1289038,Action,Thriller,,,,
1557,746607,Action,Comedy,Thriller,,,
1562,4102071,Drama,,,,,
1567,4266546,Drama,,,,,
1572,3759427,Action,Drama,,,,
1577,905062,Comedy,Western,,,,
1582,3369967,Comedy,,,,,
1587,16023850,Thriller,,,,,
1592,10356024,Action,Drama,,,,
1597,17056300,Drama,,,,,
1602,548913,Action,,,,,
1607,995846,Action,Horror,Thriller,,,
1612,751146,Comedy,,,,,
1617,7707425,,,,,,
1622,3283408,Drama,Thriller,,,,
1627,8085743,Drama,,,,,
1632,2459438,Comedy,,,,,
1637,5671591,Action,Comedy,,,,
1642,5233208,Drama,,,,,
1647,3531480,Drama,,,,,
1652,66132,Action,Thriller,,,,
1657,3655932,Action,,,,,
1662,10544222,Comedy,,,,,
1667,5190747,Action,Comedy,,,,
1672,11767416,Comedy,,,,,
1677,7679165,Drama,,,,,
1682,2498671,Comedy,,,,,
1687,67649,Comedy,,,,,
1692,8088209,Drama,,,,,
1697,8799373,Drama,,,,,
1702,2214436,Comedy,,,,,
1707,9023158,Action,Thriller,,,,
1712,1681546,Comedy,,,,,
1717,1731564,Comedy,,,,,
