,user,movie
0,124,1667
1,873,5832
2,922,9577
3,306,842
4,1279,19702
5,187,8892
6,2784,2962
7,873,5222
8,397,3342
9,1902,4742
10,306,24917
11,964,952
12,2273,8167
13,1531,237
14,61,13682
16,82,44357
18,2987,1267
19,2357,557
20,761,4582
21,768,5327
23,1426,26002
24,2868,952
25,75,2547
26,2238,842
29,1783,5037
30,3652,952
31,152,442
32,2070,8382
33,75,45257
34,614,3407
35,642,1107
36,12,9992
38,3617,6177
39,1426,9312
40,313,6607
41,1699,1382
42,649,417
43,285,3322
44,614,10572
45,530,4107
46,264,7932
47,2119,6977
48,2595,1107
49,1083,11382
50,390,1867
51,3232,392
52,2658,13472
53,3554,15877
54,26,1032
57,607,5207
58,565,7292
59,1111,14267
60,3505,822
61,1111,25857
62,75,1217
63,467,9427
64,1321,5062
65,12,1232
66,901,3367
67,2532,617
68,754,592
71,719,3762
72,257,1232
73,607,7512
74,481,37397
75,1685,7157
78,3225,9717
79,2385,12297
81,1531,6897
82,481,4382
83,2868,2017
84,1118,14557
86,747,6072
87,1671,1442
88,404,4637
89,425,9882
90,3155,1412
92,82,12562
93,271,32022
94,1426,10817
95,383,7742
97,264,26477
98,271,3402
100,719,402
102,2448,247
103,271,5102
105,2350,9007
106,355,1202
108,2679,1412
110,684,5847
112,1706,35257
116,3190,25727
117,124,21002
118,404,37922
119,2364,1547
120,2875,3762
122,271,5057
123,1734,29652
124,3400,2342
126,2595,1182
128,628,5572
130,1713,2702
131,292,2457
132,1615,7567
133,3302,5327
134,2945,6587
135,2049,17157
136,1426,2692
137,1426,6467
138,2826,3462
139,810,927
140,201,8962
141,4128,2612
142,1531,3227
144,1251,11537
145,320,21792
146,964,8177
148,1552,29027
151,817,2922
152,544,6567
153,747,2762
154,271,16552
156,2812,967
157,873,10437
158,306,1772
159,1734,44197
160,831,4137
161,2742,2132
164,1615,3912
165,705,5587
166,2287,6032
167,1328,1972
168,1104,5292
169,306,6002
170,4590,592
171,3897,12007
172,796,1832
173,1790,24857
174,152,8017
175,1300,23452
176,1006,20987
177,1251,16437
178,1713,3787
181,2595,11042
182,481,26477
183,3197,8882
184,1146,14657
185,3701,1747
186,1685,1532
187,3568,2182
190,19,13282
191,467,4282
192,82,17252
193,3708,6357
195,2924,3762
196,747,2827
198,782,15437
199,306,12327
200,2357,3177
201,1440,10712
202,3855,7822
203,1545,3522
204,3302,6562
205,3519,1907
206,2371,17
207,2504,952
209,712,2587
210,852,4102
211,264,6812
212,1496,417
213,1951,7452
214,2112,1547
215,922,27512
216,873,1892
217,698,3467
218,838,3957
220,1251,5482
221,712,1397
222,1272,4437
223,3414,3177
224,383,13352
225,2378,10217
226,467,3762
227,306,14517
228,320,39417
230,628,337
231,3617,2352
232,82,28037
233,397,22467
234,684,6577
235,2875,1637
236,2602,1967
237,1741,6127
238,2875,2622
