,rate
0,3.5
1,3.0
2,3.5
3,3.0
4,3.5
5,4.0
6,4.0
7,3.5
8,3.5
9,4.0
10,2.0
11,3.5
12,4.0
13,5.0
14,3.0
16,2.0
18,4.5
19,1.5
20,4.0
21,4.0
23,3.0
24,4.0
25,3.5
26,4.5
29,1.0
30,5.0
31,3.0
32,1.0
33,3.5
34,2.5
35,4.0
36,3.0
38,2.0
39,3.0
40,4.5
41,1.5
42,4.0
43,5.0
44,3.5
45,4.0
46,4.0
47,3.0
48,4.0
49,3.0
50,4.0
51,5.0
52,4.0
53,2.0
54,4.0
57,3.0
58,4.0
59,4.0
60,3.5
61,3.0
62,4.0
63,3.5
64,4.0
65,4.5
66,5.0
67,4.0
68,4.0
71,5.0
72,5.0
73,1.0
74,3.5
75,3.0
78,1.0
79,3.0
81,4.0
82,3.0
83,3.5
84,1.0
86,2.5
87,5.0
88,2.0
89,3.0
90,3.0
92,4.0
93,2.0
94,3.0
95,2.0
97,1.0
98,3.0
100,5.0
102,4.0
103,3.0
105,3.0
106,4.0
108,3.0
110,3.0
112,3.5
116,5.0
117,3.5
118,3.0
119,4.5
120,4.5
122,5.0
123,5.0
124,3.0
126,5.0
128,4.0
130,3.5
131,4.0
132,4.0
133,5.0
134,2.5
135,4.0
136,4.0
137,0.5
138,3.5
139,4.5
140,3.0
141,4.5
142,3.0
144,3.5
145,3.0
146,5.0
148,4.0
151,4.0
152,3.5
153,3.0
154,5.0
156,5.0
157,3.5
158,3.0
159,5.0
160,5.0
161,4.5
164,4.0
165,4.0
166,1.5
167,3.0
168,3.5
169,3.0
170,4.5
171,3.0
172,4.0
173,4.0
174,4.0
175,1.0
176,5.0
177,2.0
178,5.0
181,4.0
182,1.5
183,4.0
184,3.0
185,4.5
186,3.0
187,3.0
190,4.0
191,4.5
192,4.0
193,5.0
195,5.0
196,4.0
198,1.0
199,2.5
200,4.5
201,3.0
202,3.0
203,5.0
204,4.0
205,4.0
206,3.0
207,5.0
209,3.0
210,4.0
211,3.0
212,3.5
213,2.5
214,3.0
215,3.5
216,3.0
217,3.0
218,3.5
220,3.5
221,3.0
222,3.5
223,4.5
224,4.0
225,3.5
226,4.0
227,3.5
228,4.0
230,4.0
231,4.0
232,1.0
233,2.0
234,1.0
235,5.0
236,5.0
237,3.0
238,4.5
239,3.0
240,5.0
241,5.0
242,4.0
244,2.5
246,4.5
247,3.0
248,5.0
249,4.0
250,5.0
251,5.0
252,4.0
253,5.0
254,3.0
256,4.0
257,3.0
258,3.5
259,3.0
260,4.0
261,3.5
262,4.5
263,3.5
264,4.5
266,4.0
267,5.0
268,3.0
269,5.0
270,3.0
271,0.5
272,3.0
274,2.5
275,5.0
276,3.0
277,4.0
278,4.0
280,3.5
281,4.5
282,1.0
283,4.0
284,3.0
285,2.5
286,5.0
287,3.0
289,5.0
290,5.0
291,5.0
292,2.5
293,3.0
294,4.0
295,4.5
296,5.0
297,5.0
298,2.0
299,1.0
301,3.0
303,1.5
304,4.0
305,4.0
306,5.0
307,3.0
308,4.0
310,3.0
311,5.0
312,3.5
313,4.5
314,2.0
315,4.0
316,4.0
317,4.0
319,3.0
321,2.0
322,4.0
323,5.0
325,4.0
327,3.5
328,4.5
331,4.5
332,4.5
333,5.0
335,4.0
336,3.0
337,4.0
338,1.0
339,5.0
341,4.0
342,3.0
343,4.0
344,3.0
345,5.0
346,2.5
347,4.0
348,4.0
350,4.5
352,5.0
353,2.5
355,3.0
356,5.0
358,2.0
359,4.0
360,4.0
362,3.0
363,3.0
364,5.0
368,2.5
369,3.0
370,3.5
371,4.0
372,4.0
374,5.0
375,4.0
376,4.0
378,3.5
379,3.5
380,3.0
381,3.0
382,4.0
383,3.0
384,4.0
385,4.0
386,3.0
387,4.0
388,3.0
389,4.0
390,3.5
391,3.5
392,4.0
393,4.0
394,4.5
395,4.0
396,4.5
397,2.0
398,0.5
399,3.5
400,2.0
401,4.5
402,2.0
403,3.0
404,4.0
405,4.0
406,3.5
407,4.0
408,3.5
409,5.0
410,1.0
412,4.0
413,4.0
414,4.5
415,2.5
416,4.0
419,3.0
420,3.0
422,4.0
423,4.0
424,3.0
425,3.0
426,3.5
427,3.5
428,4.0
429,4.0
431,5.0
433,1.5
435,3.0
